,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
333,2020-02-19,17000.0,17000.0,17000.0,17000.0,1818988559000,106999327,1498702,1000.0,17000.0,1398-11-30
332,2020-02-22,17850.0,17850.0,17850.0,17712.0,5978875350,334951,2124,17000.0,17850.0,1398-12-03
331,2020-02-23,18597.0,18597.0,18597.0,18597.0,7453473033,400789,2007,17712.0,18597.0,1398-12-04
330,2020-02-24,19526.0,19526.0,19526.0,19526.0,7874660066,403291,2564,18597.0,19526.0,1398-12-05
329,2020-02-25,20502.0,20502.0,20502.0,20502.0,8210845980,400490,2235,19526.0,20502.0,1398-12-06
328,2020-02-26,21527.0,21527.0,21527.0,21527.0,8645824429,401627,3499,20502.0,21527.0,1398-12-07
327,2020-02-29,22603.0,22603.0,22603.0,22603.0,18058101775,798925,5471,21527.0,22603.0,1398-12-10
326,2020-03-01,23733.0,23733.0,23733.0,23733.0,9527351787,401439,3322,22603.0,23733.0,1398-12-11
325,2020-03-02,24919.0,24919.0,24919.0,24919.0,57951676238,2325602,4452,23733.0,24919.0,1398-12-12
324,2020-03-03,26164.0,26164.0,26164.0,26164.0,61052150324,2333441,556,24919.0,26164.0,1398-12-13
323,2020-03-07,27472.0,28845.0,27472.0,28781.0,126907963188,4409367,6511,26164.0,28845.0,1398-12-17
322,2020-03-09,30220.0,30220.0,30220.0,30220.0,90700192600,3001330,8813,28781.0,30220.0,1398-12-19
321,2020-03-10,31731.0,31731.0,31731.0,31731.0,126992507229,4002159,9934,30220.0,31731.0,1398-12-20
320,2020-03-11,33317.0,33317.0,33317.0,33317.0,133364719251,4002903,20061,31731.0,33317.0,1398-12-21
319,2020-03-14,34982.0,34982.0,34982.0,34982.0,779253959610,22275855,30005,33317.0,34982.0,1398-12-24
318,2020-03-15,36731.0,36731.0,36731.0,36731.0,779028954392,21209032,18056,34982.0,36731.0,1398-12-25
317,2020-03-16,38567.0,38567.0,38567.0,38567.0,112193948422,2909066,13532,36731.0,38567.0,1398-12-26
316,2020-03-17,40495.0,40495.0,40495.0,40495.0,60845964725,1502555,13715,38567.0,40495.0,1398-12-27
315,2020-03-18,42519.0,42519.0,42519.0,42519.0,1518482280051,35713029,24170,40495.0,42519.0,1398-12-28
314,2020-03-24,44644.0,44644.0,44644.0,44644.0,139944921784,3134686,2711,42519.0,44644.0,1399-01-05
313,2020-03-29,46876.0,49219.0,46876.0,48381.0,68443016527,1414654,10332,44644.0,49219.0,1399-01-10
312,2020-03-30,50800.0,50800.0,50800.0,50800.0,93802809600,1846512,28651,48381.0,50800.0,1399-01-11
311,2020-04-04,53340.0,53340.0,53340.0,53340.0,72306423840,1355576,21072,50800.0,53340.0,1399-01-16
310,2020-04-05,56000.0,56007.0,50673.0,55733.0,3017188906824,54136402,177154,53340.0,56007.0,1399-01-17
309,2020-04-06,55490.0,55500.0,52947.0,53932.0,1273209409042,23607569,161727,55733.0,54300.0,1399-01-18
308,2020-04-07,53930.0,56628.0,51236.0,55456.0,2131822691127,38441353,176941,53932.0,54850.0,1399-01-19
307,2020-04-08,53601.0,56821.0,53601.0,55336.0,1377004443672,24884225,121268,55456.0,54800.0,1399-01-20
306,2020-04-11,54497.0,55102.0,52751.0,53732.0,849025761062,15801204,66580,55336.0,52840.0,1399-01-23
305,2020-04-12,53000.0,56418.0,52990.0,55799.0,1018583245523,18254404,44286,53732.0,56417.0,1399-01-24
304,2020-04-13,56900.0,56902.0,53204.0,54708.0,589022844030,10766640,31470,55799.0,53900.0,1399-01-25
