,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
138,2020-09-12,1350.0,1350.0,1350.0,1350.0,7140150,5289,3,1000.0,1350.0,1399-06-22
137,2020-09-13,1410.0,1410.0,1410.0,1350.0,335354400,237840,27,1350.0,1410.0,1399-06-23
136,2020-09-15,1410.0,1410.0,1410.0,1350.0,82232610,58321,4,1350.0,1410.0,1399-06-25
135,2020-09-16,1410.0,1410.0,1410.0,1350.0,176075160,124876,4,1350.0,1410.0,1399-06-26
134,2020-09-19,1410.0,1410.0,1410.0,1350.0,129471840,91824,5,1350.0,1410.0,1399-06-29
133,2020-09-20,1410.0,1410.0,1410.0,1350.0,269126700,190870,7,1350.0,1410.0,1399-06-30
132,2020-09-21,1410.0,1410.0,1410.0,1350.0,122605140,86954,3,1350.0,1410.0,1399-06-31
131,2020-09-22,1410.0,1410.0,1410.0,1350.0,37872600,26860,13,1350.0,1410.0,1399-07-01
130,2020-09-23,1410.0,1410.0,1410.0,1350.0,234968040,166644,6,1350.0,1410.0,1399-07-02
129,2020-09-26,1410.0,1410.0,1410.0,1350.0,2608277220,1849842,65,1350.0,1410.0,1399-07-05
128,2020-09-27,1410.0,1410.0,1410.0,1350.0,3740937270,2653147,68,1350.0,1410.0,1399-07-06
127,2020-09-28,1410.0,1410.0,1410.0,1350.0,2263935480,1605628,55,1350.0,1410.0,1399-07-07
126,2020-09-29,1410.0,1410.0,1410.0,1350.0,2706850320,1919752,45,1350.0,1410.0,1399-07-08
125,2020-09-30,1410.0,1410.0,1410.0,1350.0,2162645310,1533791,69,1350.0,1410.0,1399-07-09
124,2020-10-03,1410.0,1410.0,1410.0,1350.0,3998979960,2836156,74,1350.0,1410.0,1399-07-12
123,2020-10-04,1410.0,1410.0,1410.0,1360.0,5172163410,3668201,114,1350.0,1410.0,1399-07-13
122,2020-10-05,1420.0,1420.0,1420.0,1360.0,3292480160,2318648,58,1360.0,1420.0,1399-07-14
121,2020-10-06,1420.0,1420.0,1420.0,1370.0,4760574140,3352517,115,1360.0,1420.0,1399-07-15
120,2020-10-07,1430.0,1430.0,1310.0,1380.0,17855493850,12651867,641,1370.0,1430.0,1399-07-16
119,2020-10-10,1440.0,1440.0,1320.0,1390.0,12188650860,8483003,456,1380.0,1440.0,1399-07-19
118,2020-10-11,1440.0,1450.0,1340.0,1400.0,12284957180,8560350,749,1390.0,1440.0,1399-07-20
117,2020-10-12,1440.0,1470.0,1340.0,1410.0,12547022710,8675039,615,1400.0,1470.0,1399-07-21
116,2020-10-13,1450.0,1480.0,1380.0,1420.0,9488766730,6478312,506,1410.0,1480.0,1399-07-22
115,2020-10-14,1440.0,1480.0,1350.0,1420.0,10052172140,7102836,491,1420.0,1440.0,1399-07-23
114,2020-10-18,1370.0,1400.0,1350.0,1410.0,6428809160,4727507,311,1420.0,1360.0,1399-07-27
113,2020-10-19,1340.0,1340.0,1340.0,1410.0,889705060,663959,59,1410.0,1340.0,1399-07-28
112,2020-10-20,1340.0,1340.0,1340.0,1410.0,481554460,359369,35,1410.0,1340.0,1399-07-29
111,2020-10-21,1340.0,1340.0,1340.0,1410.0,568633020,424353,60,1410.0,1340.0,1399-07-30
110,2020-11-11,1340.0,1340.0,1340.0,1410.0,1849568500,1380275,56,1410.0,1340.0,1399-08-21
109,2020-11-14,1340.0,1340.0,1340.0,1410.0,673548320,502648,42,1410.0,1340.0,1399-08-24
108,2020-11-15,1340.0,1340.0,1340.0,1410.0,235488920,175738,19,1410.0,1340.0,1399-08-25
107,2020-11-16,1340.0,1340.0,1340.0,1410.0,2672721120,1994568,52,1410.0,1340.0,1399-08-26
