,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
975,2013-10-19,1447.0,1447.0,1447.0,1447.0,1012900000,700000,4,1000.0,1447.0,1392-07-27
974,2013-12-11,2000.0,2000.0,2000.0,2000.0,30000000,15000,1,1447.0,2000.0,1392-09-20
973,2013-12-22,3000.0,3000.0,3000.0,3000.0,4974000,1658,1,2000.0,3000.0,1392-10-01
972,2013-12-25,3000.0,3000.0,3000.0,3000.0,9900000,3300,1,3000.0,3000.0,1392-10-04
971,2014-01-14,2120.0,2120.0,2120.0,2120.0,21289040,10042,1,3000.0,2120.0,1392-10-24
970,2014-02-10,2120.0,2120.0,2120.0,2120.0,31800000,15000,1,2120.0,2120.0,1392-11-21
969,2014-02-24,2120.0,2120.0,2120.0,2120.0,31800000,15000,1,2120.0,2120.0,1392-12-05
968,2014-03-02,2120.0,2120.0,2120.0,2120.0,6996000,3300,1,2120.0,2120.0,1392-12-11
967,2014-03-04,2120.0,2120.0,2120.0,2120.0,31800000,15000,1,2120.0,2120.0,1392-12-13
966,2014-03-10,2121.0,2121.0,2121.0,2121.0,994749,469,1,2120.0,2121.0,1392-12-19
965,2014-03-26,2000.0,2000.0,2000.0,2000.0,30000000,15000,2,2121.0,2000.0,1393-01-06
964,2014-04-05,1600.0,1600.0,1600.0,1600.0,24000000,15000,1,2000.0,1600.0,1393-01-16
963,2014-04-14,1550.0,1550.0,1550.0,1550.0,15500000,10000,1,1600.0,1550.0,1393-01-25
962,2014-04-15,1500.0,1500.0,1500.0,1500.0,15000000,10000,1,1550.0,1500.0,1393-01-26
961,2014-04-26,1510.0,1510.0,1510.0,1510.0,3681380,2438,1,1500.0,1510.0,1393-02-06
960,2014-05-05,1600.0,1600.0,1450.0,1464.0,1610000,1100,2,1510.0,1450.0,1393-02-15
959,2014-05-10,1500.0,1500.0,1500.0,1500.0,150000,100,1,1464.0,1500.0,1393-02-20
958,2014-05-14,1450.0,1450.0,1450.0,1450.0,14500000,10000,1,1500.0,1450.0,1393-02-24
957,2014-05-21,1400.0,1400.0,1400.0,1400.0,14000000,10000,1,1450.0,1400.0,1393-02-31
956,2014-06-02,1401.0,1401.0,1401.0,1401.0,21015000,15000,1,1400.0,1401.0,1393-03-12
955,2014-06-03,1400.0,1400.0,1400.0,1400.0,10586800,7562,1,1401.0,1400.0,1393-03-13
954,2014-06-23,1450.0,1450.0,1400.0,1437.0,4885000,3400,2,1400.0,1400.0,1393-04-02
953,2014-07-02,1400.0,1400.0,1400.0,1400.0,2800000,2000,1,1427.0,1400.0,1393-04-11
952,2014-07-06,1400.0,1400.0,1400.0,1400.0,21000000,15000,1,1400.0,1400.0,1393-04-15
951,2014-07-22,1400.0,1400.0,1400.0,1400.0,21000000,15000,1,1400.0,1400.0,1393-04-31
950,2014-07-26,1400.0,1400.0,1400.0,1400.0,7000000,5000,1,1400.0,1400.0,1393-05-04
949,2014-09-07,1400.0,1500.0,1400.0,1460.0,1825000,1250,2,1171.0,1500.0,1393-06-16
948,2014-09-16,1000.0,1000.0,1000.0,1000.0,1500000,1500,1,1460.0,1000.0,1393-06-25
947,2014-10-22,1000.0,1550.0,1000.0,1415.0,37948000,26810,6,1000.0,1550.0,1393-07-30
946,2014-10-28,1200.0,1200.0,1200.0,1200.0,6000000,5000,1,1415.0,1200.0,1393-08-06
945,2014-11-30,1550.0,1550.0,1550.0,1550.0,7750000,5000,2,1200.0,1550.0,1393-09-09
944,2014-12-24,1001.0,1100.0,1001.0,1095.0,11525525,10525,2,1550.0,1100.0,1393-10-03
943,2015-01-11,968.0,968.0,967.0,968.0,24190000,25000,2,1095.0,967.0,1393-10-21
942,2015-01-25,910.0,910.0,910.0,910.0,5027750,5525,1,968.0,910.0,1393-11-05
941,2015-02-01,1180.0,1180.0,1180.0,1180.0,6519500,5525,1,910.0,1180.0,1393-11-12
940,2015-02-07,1190.0,1190.0,1190.0,1190.0,17850000,15000,1,1180.0,1190.0,1393-11-18
939,2015-03-30,1200.0,1200.0,1200.0,1200.0,6000000,5000,1,1190.0,1200.0,1394-01-10
938,2015-04-05,1200.0,1200.0,1200.0,1200.0,6000000,5000,1,1200.0,1200.0,1394-01-16
937,2015-04-06,1200.0,1200.0,1200.0,1200.0,36000000,30000,2,1200.0,1200.0,1394-01-17
936,2015-05-24,1200.0,1200.0,1200.0,1200.0,6000000,5000,1,1200.0,1200.0,1394-03-03
935,2015-12-13,1201.0,1201.0,1201.0,1201.0,120100,100,1,1196.0,1201.0,1394-09-22
934,2016-05-04,701.0,701.0,701.0,701.0,10515000,15000,1,1201.0,701.0,1395-02-15
933,2016-06-07,723.0,723.0,723.0,723.0,2802348,3876,1,701.0,723.0,1395-03-18
932,2016-08-28,510.0,510.0,510.0,510.0,7650000,15000,2,718.0,510.0,1395-06-07
931,2016-12-06,552.0,552.0,552.0,552.0,8280000,15000,1,510.0,552.0,1395-09-16
930,2017-01-09,560.0,560.0,554.0,560.0,1119190,2000,2,552.0,554.0,1395-10-20
929,2017-01-14,552.0,552.0,552.0,552.0,74520,135,1,560.0,552.0,1395-10-25
928,2017-01-23,600.0,600.0,550.0,574.0,8607480,15000,3,552.0,550.0,1395-11-04
927,2017-03-26,610.0,610.0,610.0,610.0,54900,90,1,574.0,610.0,1396-01-06
926,2017-04-10,671.0,671.0,671.0,671.0,10065000,15000,1,610.0,671.0,1396-01-21
925,2017-04-16,738.0,738.0,738.0,738.0,11070000,15000,2,671.0,738.0,1396-01-27
924,2017-04-24,811.0,811.0,811.0,811.0,6488000,8000,3,738.0,811.0,1396-02-04
923,2017-04-26,892.0,892.0,892.0,892.0,13148080,14740,3,811.0,892.0,1396-02-06
922,2017-04-29,981.0,981.0,981.0,981.0,23613651,24071,4,892.0,981.0,1396-02-09
921,2017-05-01,1079.0,1079.0,1079.0,1079.0,18202730,16870,6,981.0,1079.0,1396-02-11
920,2017-05-02,1186.0,1186.0,1186.0,1186.0,12788638,10783,6,1079.0,1186.0,1396-02-12
919,2017-05-03,1304.0,1304.0,1300.0,1304.0,589132196,451800,42,1186.0,1304.0,1396-02-13
918,2017-05-06,1304.0,1434.0,1304.0,1423.0,265977861,186870,63,1304.0,1425.0,1396-02-16
