,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
136,2020-10-03,1300.0,1300.0,1300.0,1300.0,52000000,40000,1,1000.0,1300.0,1399-07-12
135,2020-10-04,1360.0,1360.0,1360.0,1300.0,107055120,78717,4,1300.0,1360.0,1399-07-13
134,2020-10-05,1360.0,1360.0,1360.0,1300.0,1445939760,1063191,42,1300.0,1360.0,1399-07-14
133,2020-10-06,1360.0,1360.0,1360.0,1300.0,394821600,290310,19,1300.0,1360.0,1399-07-15
132,2020-10-07,1360.0,1360.0,1360.0,1300.0,839254640,617099,30,1300.0,1360.0,1399-07-16
131,2020-10-10,1360.0,1360.0,1360.0,1300.0,1841306720,1353902,35,1300.0,1360.0,1399-07-19
130,2020-10-11,1360.0,1360.0,1360.0,1300.0,2394528880,1760683,70,1300.0,1360.0,1399-07-20
129,2020-10-12,1360.0,1360.0,1240.0,1300.0,3489068710,2575349,166,1300.0,1360.0,1399-07-21
128,2020-10-13,1360.0,1360.0,1250.0,1300.0,2879243810,2234343,185,1300.0,1270.0,1399-07-22
127,2020-10-14,1260.0,1260.0,1240.0,1300.0,3858671610,3101576,157,1300.0,1240.0,1399-07-23
126,2020-10-18,1240.0,1240.0,1240.0,1300.0,352233160,284059,34,1300.0,1240.0,1399-07-27
125,2020-10-19,1240.0,1240.0,1240.0,1300.0,117181240,94501,8,1300.0,1240.0,1399-07-28
124,2020-10-20,1240.0,1240.0,1240.0,1300.0,179137840,144466,14,1300.0,1240.0,1399-07-29
123,2020-10-21,1240.0,1240.0,1240.0,1300.0,839855720,677303,33,1300.0,1240.0,1399-07-30
122,2020-10-24,1240.0,1240.0,1240.0,1300.0,58645800,47295,7,1300.0,1240.0,1399-08-03
121,2020-10-26,1240.0,1240.0,1240.0,1300.0,75770200,61105,6,1300.0,1240.0,1399-08-05
120,2020-10-27,1240.0,1240.0,1240.0,1300.0,57722000,46550,6,1300.0,1240.0,1399-08-06
119,2020-10-28,1240.0,1240.0,1240.0,1300.0,107880000,87000,7,1300.0,1240.0,1399-08-07
118,2020-10-31,1240.0,1240.0,1240.0,1300.0,156806680,126457,10,1300.0,1240.0,1399-08-10
117,2020-11-01,1240.0,1240.0,1240.0,1300.0,12400000,10000,1,1300.0,1240.0,1399-08-11
116,2020-11-04,1240.0,1240.0,1240.0,1300.0,43046600,34715,5,1300.0,1240.0,1399-08-14
115,2020-11-10,1240.0,1240.0,1240.0,1300.0,24548280,19797,7,1300.0,1240.0,1399-08-20
114,2020-11-11,1240.0,1240.0,1240.0,1300.0,5208000,4200,3,1300.0,1240.0,1399-08-21
113,2020-11-14,1240.0,1240.0,1240.0,1300.0,26242120,21163,4,1300.0,1240.0,1399-08-24
112,2020-11-15,1240.0,1240.0,1240.0,1300.0,21088680,17007,3,1300.0,1240.0,1399-08-25
111,2020-11-16,1240.0,1240.0,1240.0,1300.0,37200000,30000,2,1300.0,1240.0,1399-08-26
110,2020-11-17,1240.0,1240.0,1240.0,1300.0,46356160,37384,6,1300.0,1240.0,1399-08-27
109,2020-11-18,1240.0,1240.0,1240.0,1300.0,5787080,4667,1,1300.0,1240.0,1399-08-28
108,2020-11-21,1240.0,1240.0,1240.0,1300.0,67126160,54134,2,1300.0,1240.0,1399-09-01
107,2020-11-22,1240.0,1240.0,1240.0,1300.0,30195240,24351,5,1300.0,1240.0,1399-09-02
106,2020-11-23,1240.0,1240.0,1240.0,1300.0,43567400,35135,2,1300.0,1240.0,1399-09-03
105,2020-11-24,1240.0,1240.0,1240.0,1300.0,78451080,63267,5,1300.0,1240.0,1399-09-04
104,2020-11-25,1240.0,1240.0,1240.0,1300.0,17546000,14150,2,1300.0,1240.0,1399-09-05
103,2020-11-28,1240.0,1240.0,1240.0,1300.0,25126120,20263,4,1300.0,1240.0,1399-09-08
102,2020-11-29,1170.0,1170.0,1170.0,1260.0,12482799030,10669059,396,1300.0,1170.0,1399-09-09
101,2020-11-30,1200.0,1200.0,1200.0,1260.0,946502400,788752,47,1260.0,1200.0,1399-09-10
100,2020-12-01,1200.0,1200.0,1200.0,1260.0,34800000,29000,5,1260.0,1200.0,1399-09-11
99,2020-12-02,1200.0,1200.0,1200.0,1260.0,22322400,18602,4,1260.0,1200.0,1399-09-12
98,2020-12-05,1200.0,1200.0,1200.0,1260.0,61442400,51202,7,1260.0,1200.0,1399-09-15
97,2020-12-06,1200.0,1200.0,1200.0,1260.0,48439200,40366,4,1260.0,1200.0,1399-09-16
96,2020-12-07,1200.0,1200.0,1200.0,1260.0,30277200,25231,5,1260.0,1200.0,1399-09-17
95,2020-12-08,1200.0,1200.0,1200.0,1260.0,290629200,242191,13,1260.0,1200.0,1399-09-18
94,2020-12-09,1200.0,1200.0,1200.0,1260.0,39103200,32586,5,1260.0,1200.0,1399-09-19
93,2020-12-12,1200.0,1200.0,1200.0,1260.0,73036800,60864,5,1260.0,1200.0,1399-09-22
92,2020-12-13,1200.0,1200.0,1200.0,1260.0,17600400,14667,3,1260.0,1200.0,1399-09-23
91,2020-12-14,1200.0,1200.0,1200.0,1260.0,17012400,14177,2,1260.0,1200.0,1399-09-24
90,2020-12-15,1200.0,1200.0,1200.0,1260.0,5400000,4500,1,1260.0,1200.0,1399-09-25
89,2020-12-16,1200.0,1200.0,1200.0,1260.0,11385600,9488,2,1260.0,1200.0,1399-09-26
